thetap                 phip                     Fp_x (N)                 Fp_y (N)                 Fp_z (N)                 Tp_x (N*m)               Tp_y (N*m)               Tp_z (N*m)
0                        0                        0.04079594785427564      0.00603095298550238      -0.3293555422646603      8.123861429568729E-4     0.32001211997553025      2.9057024804002356E-4
0                        10                       0.03792619424163289      0.012318585825887782     -0.3198607670011122      -0.02142852442590205     0.3154040336393793       -5.311363061780761E-4
0                        20                       0.025635586563382846     0.0051192930931117445    -0.3034390200529211      -0.041138730002751776    0.3089221173386478       -0.0011393369726644708
0                        30                       0.04308157747604196      0.006221551804577945     -0.2618503759872498      -0.05586831562877253     0.290079482016567        -0.00141224447470838
0                        40                       0.028992877829043397     0.007978363313032156     -0.1978014433463686      -0.0643442655327258      0.27511363054409077      -7.873215727025146E-4
0                        50                       0.015539948921770968     0.010603125317385784     -0.14029231325897148     -0.063928993571539       0.25174393557024244      -7.162435325808591E-4
0                        60                       0.02568473844812612      0.007432373567934203     -0.08659446697002895     -0.0567438052786622      0.23113814082615228      -8.004631107417397E-4
0                        70                       0.021981463850792395     0.008766089773577944     -0.03367028770222555     -0.0422531305591591      0.2161635695523112       -1.812960956953172E-4
0                        80                       0.021150645733237803     0.0044442490292007815    -0.0021361695094487525   -0.021984138121724422    0.20365428441353517      -1.6101700177751767E-4
0                        90                       0.021065913118887766     0.011352283868436442     -6.874407827393743E-4    0.0015984493524819376    0.2000830116945483       -1.1990291018654405E-4
0                        100                      0.02903947110206728      -0.003207234835044397    0.018701035941643233     0.0222673456258889       0.202722265228457        4.233866680046125E-4
0                        110                      0.019965742965230602     -0.0064569893193762665   -0.022191577409132968    0.04325746662681529      0.216945640652903        7.949870544759615E-5
0                        120                      0.02370349042226934      -0.011809838456600046    -0.07706384696142952     0.05630226479806457      0.23228344606144513      6.377952292303177E-4
0                        130                      0.011693519994672219     -0.01609612100425458     -0.14493099606993695     0.06309238629372929      0.2529972786413419       0.0012947536157957512
0                        140                      0.0343365446819154       -0.011430632774384601    -0.19380870440018858     0.06376124290374248      0.2740907906539784       3.411851013211495E-4
0                        150                      0.04842702057300908      -0.012911272695138313    -0.2383228889584575      0.05376009379807311      0.29532293054486897      4.108816322505142E-5
0                        160                      0.025531082953107617     -0.007141947953168045    -0.2823500930459339      0.04060354704558792      0.30647957776944657      3.8314767762411933E-4
0                        170                      0.028397142933838777     0.001110385551226447     -0.3316233316216615      0.02127674603016019      0.3176616856150192       2.9088870385865116E-4
0                        180                      0.046586367859266994     0.007200982608333415     -0.32660596203260495     4.183643497108291E-4     0.32079253097860727      2.2698613401724103E-4
10                       0                        0.15199176188314859      -0.007874741943105518    -0.3133593580517348      0.0011031270739702915    0.3051853579812514       -2.5529406162023906E-4
10                       10                       0.16513416151742938      0.01741355860616104      -0.3079865296621226      -0.02082324767968334     0.2989412622714602       -0.009004135689348658
10                       20                       0.15281250002878197      0.03443058703013579      -0.2870541020310993      -0.03664548750996706     0.2923477578559989       -0.01749263732214022
10                       30                       0.1369696471788694       0.035431299630276386     -0.22998561024543324     -0.05118963849729194     0.2764262257955238       -0.02625858409225503
