Ompy                   Up                       Fp_x (N)                 Fp_y (N)                 Fp_z (N)                 Tp_x (N*m)               Tp_y (N*m)               Tp_z (N*m)
-2                       0                        0.08238468353665745      1.7394532779786263       -11.457626830673815      0.03049974381430183      -0.7638814130669133      0.10912347973092622
-2                       0.10526315789473684      0.07791171134992542      1.6133663601382857       -10.671755297537327      0.02872768077638043      -0.7603413697765466      0.10520776026814857
-2                       0.21052631578947367      0.07280810414405149      1.487280321966204        -9.885820449388827       0.026929320608598373     -0.7568009189384072      0.10129502086113173
-2                       0.3157894736842105       0.06708129930366678      1.3611550905828318       -9.099762119213795       0.025104079355802666     -0.753256800702043       0.09738577184424194
-2                       0.42105263157894735      0.06072609934279881      1.2350226653969911       -8.31358882182658        0.02325272638053874      -0.749710327009359       0.09348148018767131
-2                       0.5263157894736842       0.05374282135056596      1.108901330148           -7.52730192556721        0.021375223530137134     -0.746163955751982       0.08958136520316655
-2                       0.631578947368421        0.0461314431600296       0.9828000247925007       -6.740903353561525       0.019471599144474536     -0.7426180324526704      0.0856841831979032
-2                       0.7368421052631579       0.037892583082145485     0.8567230264831356       -5.954389152610391       0.017541885528087928     -0.7390722975196022      0.08178949908454981
-2                       0.8421052631578947       0.029026393213918457     0.7306731593491241       -5.167753301564359       0.01558613642673817      -0.7355263707042041      0.07789707576815101
-2                       0.9473684210526315       0.01953327041503678      0.6046526585368983       -4.3809884170518165      0.01360438152757484      -0.7319798322825708      0.0740068360625882
-2                       1.0526315789473684       0.009413579677214446     0.4786635238754956       -3.5940867060828134      0.011596645083280139     -0.7284322601164861      0.0701187872034312
-2                       1.1578947368421053       -0.0013286269296923694   0.35269892019745275      -2.807038914925073       0.009562510942761452     -0.7248831049605734      0.06623340087563685
-2                       1.263157894736842        -0.012701037663713945    0.22678048861103678      -2.0198404656899878      0.007502992449137529     -0.7213323809038358      0.06234981632504424
-2                       1.3684210526315788       -0.02469916730152278     0.10089858055722532      -1.2324790318051742      0.005417587225062337     -0.7177793722742679      0.05846847605539528
-2                       1.4736842105263157       -0.03732267973671227     -0.02494518778535205     -0.44494585227530264     0.0033063176217277396    -0.7142236254861132      0.054589408176560085
-2                       1.5789473684210527       -0.0505713410142839      -0.15074919952149352     0.34276771700045255      0.0011691724471947708    -0.7106645952693595      0.050712618359326715
-2                       1.6842105263157894       -0.0644442491527724      -0.27651227970433756     1.1306682780772872       -9.93879415351149E-4     -0.7071017363375659      0.04683831260543792
-2                       1.789473684210526        -0.0789413159391258      -0.40223202923557333     1.9187661676773577       -0.0031827374802310153   -0.703535261759091       0.0429666785318006
-2                       1.894736842105263        -0.0940614970702879      -0.5279078593009843      2.7070757037889597       -0.005397351424286409    -0.6999650539796481      0.039097830264920176
-2                       2                        -0.10980453275809998     -0.6535358079215494      3.4956012052064898       -0.007637634733338946    -0.6963901831429676      0.03523176794792558
-1.7894736842105263      0                        0.0862647668157694       1.7467958639121333       -11.450517551053148      0.0303551555923393       -0.7182119615651381      0.09612369397297138
-1.7894736842105263      0.10526315789473684      0.08170630769150543      1.6207088975196318       -10.664645964317748      0.02859052330423035      -0.7146708288056748      0.09220663565748338
-1.7894736842105263      0.21052631578947367      0.0765179969633437       1.4946128024587442       -9.878699977609108       0.026799785530695737     -0.7111278491057395      0.0882930521475288
-1.7894736842105263      0.3157894736842105       0.0707041359659573       1.368476578380235        -9.092627286382092       0.024982328614828936     -0.7075807776429424      0.08438329845502023
-1.7894736842105263      0.42105263157894735      0.06426260397904378      1.2423379793343952       -8.306438269455237       0.023138670623892844     -0.7040321607429285      0.08047871835724647
-1.7894736842105263      0.5263157894736842       0.057192356277376205     1.1162141665447358       -7.520140225854349       0.0212688804808223       -0.7004838968586039      0.0765776094537473
-1.7894736842105263      0.631578947368421        0.049494413449502915     0.9901118775306799       -6.733732836322685       0.01937295558790362      -0.696935948436338       0.07267909785102877
-1.7894736842105263      0.7368421052631579       0.04116882382608923      0.8640346030785788       -5.947211210162849       0.017450948509898173     -0.6933879833103349      0.06878278979140909
-1.7894736842105263      0.8421052631578947       0.03221592041531364      0.7379848966635281       -5.160568926510687       0.015502907025968259     -0.6898395906688783      0.06488855553726369
-1.7894736842105263      0.9473684210526315       0.022636104638178292     0.6119648392131009       -4.373798220771796       0.013528855990407554     -0.6862903445119368      0.06099636410862563
-1.7894736842105263      1.0526315789473684       0.012429718692727288     0.4859763263942374       -3.5868910049318568      0.0115288190847796       -0.6827398202175213      0.057106231777065
-1.7894736842105263      1.1578947368421053       0.001600783087376923     0.36001234495040046      -2.799837407234608       0.009502382892187697     -0.6791874282152226      0.05321860470522163
-1.7894736842105263      1.263157894736842        -0.009858319267619247    0.23409479029730199      -2.012633849608335       0.007450561211079321     -0.6756332391135385      0.049332705256927165
-1.7894736842105263      1.3684210526315788       -0.021943137553861354    0.10821377069815617      -1.2252674031817592      0.005372854664481925     -0.6720765184682638      0.045448953370473756
-1.7894736842105263      1.4736842105263157       -0.03465338246153899     -0.017629037350323437    -0.43772918826571355     0.0032692898861890734    -0.6685168128907065      0.04156737139340809
-1.7894736842105263      1.5789473684210527       -0.047988821573188775    -0.14343206282171356     0.34998940125725264      0.0011398498758743948    -0.6649535933710611      0.037687980972514065
-1.7894736842105263      1.6842105263157894       -0.061948470054369056    -0.2691940461024996      1.1378949968308176       -0.001015488633362484    -0.6613862894395599      0.03381097961975771
-1.7894736842105263      1.789473684210526        -0.07653228999722186     -0.39491279367494675     1.9259981958032955       -0.0031966295978911622   -0.6578151184384144      0.029936545159647745
